ticker,open,high,low,close,volume,vwap,timestamp,transactions,otc,dw_last_updated
TCAL,24.7,24.7,24.44,24.45,26535.0,24.5509,2025-05-13 20:00:00,166.0,,2025-05-28 11:09:13
PMMF,100.26,100.26,100.24,100.25,128817.0,100.2482,2025-05-13 20:00:00,466.0,,2025-05-28 11:09:13
CUT,30.15,30.84,30.15,30.7516,1757.0,30.6898,2025-05-13 20:00:00,58.0,,2025-05-28 11:09:13
FINS,13.08,13.2,13.08,13.17,189885.0,13.1311,2025-05-13 20:00:00,622.0,,2025-05-28 11:09:13
AMPY,2.97,3.25,2.8984,3.21,1265511.0,3.1553,2025-05-13 20:00:00,8181.0,,2025-05-28 11:09:13
PLG,1.21,1.2106,1.16,1.18,738942.0,1.1803,2025-05-13 20:00:00,2488.0,,2025-05-28 11:09:13
RMAX,8.0,8.09,7.87,7.93,152043.0,7.9539,2025-05-13 20:00:00,2508.0,,2025-05-28 11:09:13
ASPN,5.38,6.045,5.3119,5.94,4126752.0,5.8035,2025-05-13 20:00:00,32699.0,,2025-05-28 11:09:13
TWIN,7.33,7.66,7.3,7.54,27776.0,7.4702,2025-05-13 20:00:00,483.0,,2025-05-28 11:09:13
DWX,40.41,40.47,40.271,40.38,109504.0,40.3924,2025-05-13 20:00:00,539.0,,2025-05-28 11:09:13
SMMT,25.39,25.5,24.21,24.61,2045328.0,24.66,2025-05-13 20:00:00,30168.0,,2025-05-28 11:09:13
CUZ,28.74,28.74,28.13,28.33,1021722.0,28.3488,2025-05-13 20:00:00,16219.0,,2025-05-28 11:09:13
TBT,37.04,37.59,36.96,37.32,189169.0,37.3307,2025-05-13 20:00:00,2022.0,,2025-05-28 11:09:13
NIXX,2.12,2.1718,2.0,2.02,246008.0,2.0636,2025-05-13 20:00:00,784.0,,2025-05-28 11:09:13
PTNQ,67.34,67.37,67.33,67.33,90460.0,67.3603,2025-05-13 20:00:00,657.0,,2025-05-28 11:09:13
CPNG,25.97,26.785,25.66,26.56,25866900.0,26.459,2025-05-13 20:00:00,139278.0,,2025-05-28 11:09:13
EMX,2.14,2.14,2.045,2.05,384689.0,2.0699,2025-05-13 20:00:00,2131.0,,2025-05-28 11:09:13
CVU,3.62,3.62,3.5,3.55,27008.0,3.5577,2025-05-13 20:00:00,255.0,,2025-05-28 11:09:13
KVHI,5.02,5.1891,4.952,5.02,19357.0,5.1032,2025-05-13 20:00:00,398.0,,2025-05-28 11:09:13
DOCS,61.0,61.93,59.58,60.43,3478067.0,60.3905,2025-05-13 20:00:00,49715.0,,2025-05-28 11:09:13
DFNL,40.92,41.24,40.8869,41.0902,3669.0,41.0692,2025-05-13 20:00:00,40.0,,2025-05-28 11:09:13
MFIC,12.28,13.015,12.2,12.78,587118.0,12.7934,2025-05-13 20:00:00,6656.0,,2025-05-28 11:09:13
DH,3.62,3.725,3.5413,3.6,747551.0,3.6449,2025-05-13 20:00:00,7802.0,,2025-05-28 11:09:13
GBR,0.88,0.9745,0.8556,0.968302,14210.0,0.9183,2025-05-13 20:00:00,76.0,,2025-05-28 11:09:13
TIC,10.72,10.87,10.5,10.74,154061.0,10.7278,2025-05-13 20:00:00,1981.0,,2025-05-28 11:09:13
BOXL,1.65,1.69,1.6,1.69,24609.0,1.6597,2025-05-13 20:00:00,253.0,,2025-05-28 11:09:13
CAPR,7.25,7.9,7.12,7.3,4766823.0,7.5371,2025-05-13 20:00:00,31605.0,,2025-05-28 11:09:13
BDX,174.87,177.8,172.3,175.34,3772551.0,175.4114,2025-05-13 20:00:00,69508.0,,2025-05-28 11:09:13
VGT,600.65,613.24,600.0,611.49,899253.0,609.3553,2025-05-13 20:00:00,30007.0,,2025-05-28 11:09:13
NVEC,71.02,71.8451,69.79,70.65,15234.0,70.7739,2025-05-13 20:00:00,984.0,,2025-05-28 11:09:13
PR,13.63,14.085,13.6,13.95,13147123.0,13.9076,2025-05-13 20:00:00,43845.0,,2025-05-28 11:09:13
NVDQ,2.265,2.2792,2.02,2.09,44422903.0,2.0906,2025-05-13 20:00:00,22981.0,,2025-05-28 11:09:13
BAK,3.85,3.87,3.675,3.81,682322.0,3.7941,2025-05-13 20:00:00,4571.0,,2025-05-28 11:09:13
LFUS,217.93,221.12,216.0301,219.94,263850.0,219.4182,2025-05-13 20:00:00,8269.0,,2025-05-28 11:09:13
PLTD,11.03,11.07,10.04,10.26,10193411.0,10.3651,2025-05-13 20:00:00,19451.0,,2025-05-28 11:09:13
MAIN,54.0,54.65,53.55,53.97,656289.0,54.0769,2025-05-13 20:00:00,13925.0,,2025-05-28 11:09:13
KHC,28.15,28.19,27.4107,27.59,14980296.0,27.7218,2025-05-13 20:00:00,84065.0,,2025-05-28 11:09:13
GSBD,11.1,11.385,11.0192,11.28,1270997.0,11.2662,2025-05-13 20:00:00,9328.0,,2025-05-28 11:09:13
EVLN,49.84,49.88,49.8,49.82,39708.0,49.8486,2025-05-13 20:00:00,267.0,,2025-05-28 11:09:13
ETHV,37.25,40.07,37.05,39.47,95303.0,38.7746,2025-05-13 20:00:00,1104.0,,2025-05-28 11:09:13
YYY,11.32,11.42,11.32,11.42,341797.0,11.4012,2025-05-13 20:00:00,728.0,,2025-05-28 11:09:13
OUST,11.08,11.49,10.56,11.41,2169288.0,11.1768,2025-05-13 20:00:00,21683.0,,2025-05-28 11:09:13
JHMM,59.85,60.2192,59.75,59.93,243930.0,60.0656,2025-05-13 20:00:00,1510.0,,2025-05-28 11:09:13
VFL,9.94,9.9599,9.9,9.93,14561.0,9.9125,2025-05-13 20:00:00,61.0,,2025-05-28 11:09:13
