ticker,open,high,low,close,volume,vwap,timestamp,transactions,otc,dw_last_updated
BRAG,4.4,4.5,4.1,4.17,42406.0,4.3558,2025-06-06 20:00:00,324.0,,2025-06-09 17:04:48
TCAL,24.7,25.25,24.7,24.79,15824.0,24.8022,2025-06-06 20:00:00,104.0,,2025-06-09 17:04:48
PRCT,65.17,65.655,62.85,62.91,986334.0,63.7367,2025-06-06 20:00:00,20371.0,,2025-06-09 17:04:48
FLIA,20.42,20.45,20.42,20.45,61284.0,20.4377,2025-06-06 20:00:00,315.0,,2025-06-09 17:04:48
GFL,49.26,49.79,49.2445,49.69,1009058.0,49.6236,2025-06-06 20:00:00,9546.0,,2025-06-09 17:04:48
SBET,44.86,45.12,37.0,41.48,1612327.0,41.0178,2025-06-06 20:00:00,30110.0,,2025-06-09 17:04:48
XSHQ,40.63,40.7699,40.35,40.5,23245.0,40.4786,2025-06-06 20:00:00,171.0,,2025-06-09 17:04:48
SHM,47.52,47.55,47.51,47.54,176258.0,47.5277,2025-06-06 20:00:00,930.0,,2025-06-09 17:04:48
FIW,107.59,107.8499,106.89,107.28,20054.0,107.2454,2025-06-06 20:00:00,419.0,,2025-06-09 17:04:48
FORM,32.63,33.13,32.03,32.17,823925.0,32.3761,2025-06-06 20:00:00,12347.0,,2025-06-09 17:04:48
UHG,3.48,3.675,3.45,3.58,113651.0,3.5634,2025-06-06 20:00:00,976.0,,2025-06-09 17:04:48
QEMM,61.51,61.51,60.68,60.8862,2989.0,60.9441,2025-06-06 20:00:00,52.0,,2025-06-09 17:04:48
MURA,2.62,2.625,2.54,2.56,195902.0,2.5723,2025-06-06 20:00:00,1524.0,,2025-06-09 17:04:48
UMDD,21.8,21.845,21.62,21.77,14210.0,21.7368,2025-06-06 20:00:00,131.0,,2025-06-09 17:04:48
IRIX,0.97,0.98,0.97,0.9732,48872.0,0.9732,2025-06-06 20:00:00,356.0,,2025-06-09 17:04:48
VRIG,25.07,25.08,25.07,25.08,139922.0,25.0775,2025-06-06 20:00:00,493.0,,2025-06-09 17:04:48
ESGE,37.83,37.9758,37.8,37.96,213774.0,37.8851,2025-06-06 20:00:00,2206.0,,2025-06-09 17:04:48
BITQ,17.56,18.47,17.56,18.28,171403.0,18.2694,2025-06-06 20:00:00,1107.0,,2025-06-09 17:04:48
VSGX,64.71,64.78,64.5644,64.77,95684.0,64.67,2025-06-06 20:00:00,710.0,,2025-06-09 17:04:48
GILD,111.69,112.76,110.77,112.46,5263662.0,112.132,2025-06-06 20:00:00,68855.0,,2025-06-09 17:04:48
AMPY,3.32,3.45,3.24,3.25,522545.0,3.3495,2025-06-06 20:00:00,4508.0,,2025-06-09 17:04:48
PLTD,10.52,10.67,10.1102,10.15,7427376.0,10.3215,2025-06-06 20:00:00,8987.0,,2025-06-09 17:04:48
CMTL,2.24,2.33,2.155,2.27,330405.0,2.2483,2025-06-06 20:00:00,1498.0,,2025-06-09 17:04:48
SHCO,6.48,6.5133,6.26,6.27,98415.0,6.3405,2025-06-06 20:00:00,1259.0,,2025-06-09 17:04:48
SMDD,8.24,8.37,8.23,8.2689,4876.0,8.2865,2025-06-06 20:00:00,98.0,,2025-06-09 17:04:48
GRYP,1.1,1.15,1.09,1.11,2717494.0,1.1154,2025-06-06 20:00:00,5830.0,,2025-06-09 17:04:48
MAA,150.75,151.8871,148.55,149.89,645259.0,149.8351,2025-06-06 20:00:00,14947.0,,2025-06-09 17:04:48
TMV,40.29,40.96,40.1,40.87,594018.0,40.288,2025-06-06 20:00:00,6123.0,,2025-06-09 17:04:48
GXC,86.43,86.79,86.23,86.79,9140.0,86.4947,2025-06-06 20:00:00,204.0,,2025-06-09 17:04:48
ATXG,0.67,0.768,0.6678,0.75,877930.0,0.7256,2025-06-06 20:00:00,1624.0,,2025-06-09 17:04:48
PKW,119.78,120.3478,119.73,120.26,15755.0,120.0734,2025-06-06 20:00:00,229.0,,2025-06-09 17:04:48
